Municipio,Regiao,Populacao,Densidade,Jovens,Idosos,IdadeAtiva,Desemprego,Residuos,Energia,VariacaoPop,Natalidade,EnsinoSuperior_por1000
Almada,Lisboa,183643.0,2623.4714285714285,13.8,24.4,61.8,5.0,192.7,2834.3,4.792148135467488,9.409560941609536,62.67595279972556
Aveiro,Centro,88154.0,445.22222222222223,12.8,22.1,65.1,4.0,113.4,9683.2,11.511118981961697,7.3394287270004765,170.4630532931007
Beja,Alentejo,33954.0,29.6282722513089,14.4,23.4,62.2,6.0,156.9,5252.6,-5.701669119893354,8.835483300936563,95.5999293161336
Braga,Norte,203519.0,1112.1256830601094,13.3,19.9,66.7,5.0,91.0,3750.1,11.357393768945405,7.768316471680777,112.39736830467916
Bragança,Norte,35581.0,30.30749574105622,10.9,28.6,60.6,5.0,62.9,3684.7,-0.5811841627315656,6.183075236783677,246.47986284814928
Cascais,Lisboa,222339.0,2292.1546391752577,13.7,23.4,62.9,4.0,291.3,3181.2,6.617978497923639,7.758422948740437,35.94061320775932
Castelo Branco,Centro,53342.0,37.09457579972184,11.5,28.9,59.6,6.0,88.6,3895.0,-4.831400535236396,7.592516216114881,77.42491845075175
Coimbra,Centro,146899.0,460.4984326018809,11.8,26.3,61.9,5.0,81.3,4742.8,2.4328847360714034,7.467715913654961,261.4789753504108
Faro,Algarve,70347.0,346.53694581280786,13.8,22.7,63.6,4.0,119.0,3998.4,6.87460119716812,8.230628171777047,140.3471363384366
Funchal,Madeira,108129.0,1422.75,11.5,23.1,65.4,0.0,172.2,3953.4,-3.6008487269096356,6.482997160798676,38.48181338956247
Guarda,Centro,40046.0,56.24438202247191,10.8,26.6,62.6,4.0,65.2,4685.6,-6.471728519046173,6.767217699645408,78.65954152724366
Guimarães,Norte,156513.0,649.4315352697096,12.2,22.3,65.5,6.0,153.2,4977.4,-1.0738755593760272,7.207069061355925,0.0
Leiria,Centro,136006.0,240.71858407079645,13.0,23.3,63.7,4.0,82.7,5468.3,6.445957580026611,7.88935782244901,67.2102701351411
Lisboa,Lisboa,575739.0,5757.39,13.6,23.0,63.3,5.0,180.4,5420.4,6.109596766613404,10.01669159115502,228.73211646249428
Ponta Delgada,Açores,69038.0,296.30042918454933,14.1,16.5,69.5,0.0,250.3,3676.3,-0.03185635679119606,8.444624699440888,36.211941249746516
Portalegre,Alentejo,21754.0,48.666666666666664,12.0,28.6,59.4,4.0,146.3,5889.2,-11.744898373159154,6.159786705893169,106.00349361037051
Porto,Norte,252687.0,6163.09756097561,11.9,25.7,62.3,7.0,160.9,5033.8,7.124324874301557,7.5627159291930335,287.43860982163704
Santarém,Alentejo,61664.0,111.50813743218806,12.7,26.2,61.1,4.0,95.6,5353.5,-0.12309685779073536,8.384146341463415,72.05176440062273
Setúbal,Lisboa,124339.0,540.604347826087,13.7,24.2,62.1,6.0,198.4,10198.5,1.6140368082115653,8.903079484313048,55.57387464914468
Sintra,Lisboa,400947.0,1256.8871473354232,14.8,19.0,66.2,4.0,158.7,2627.9,5.752259071894667,11.006442247977912,2.2222388495237526
Viana do Castelo,Norte,86975.0,272.6489028213166,11.7,26.8,61.5,4.0,107.2,7483.8,-1.6331331501147943,7.266455878125898,42.92037941937338
Vila Nova de Gaia,Norte,312984.0,1863.0,12.5,23.0,64.5,5.0,73.0,3781.8,3.1394892851375977,7.239986708585742,9.118676993073128
Vila Real,Norte,50043.0,132.0395778364116,11.7,24.9,63.4,7.0,88.4,3397.6,-3.5352853865875047,6.094758507683392,168.2353176268409
Viseu,Centro,103502.0,204.14595660749507,12.7,24.6,62.7,4.0,74.7,3488.2,3.5061402456098243,7.758304187358698,57.51579679619717
Évora,Alentejo,53908.0,41.24560061208875,13.1,24.3,62.6,4.0,119.3,5569.0,-4.725884556926231,8.124953624693923,152.57475699339614
